PRDID,LOCID,CURRID,ZDIVISIONID,ZGROUPKEYID,ZSALESOFFICEID,ZVKORGID,ZVTWEGID,KEYFIGUREDATE,ZNETTO2REVENUE
719095,1050,EUR,01,ZZ0468,1004,1010,01,2023-06-30,150.39999999999998
719095,1050,EUR,01,ZZ0468,1004,1010,01,2023-07-31,150.39999999999998
719095,1050,EUR,01,ZZ0468,1004,1010,01,2023-09-30,428.7
719095,1050,EUR,01,ZZ0468,1004,1010,01,2023-10-31,428.7
719095,1050,EUR,01,ZZ0468,1004,1010,01,2023-11-30,148.38
719095,1050,EUR,01,ZZ0488,1004,1010,01,2023-02-28,147.8
719095,1050,EUR,01,ZZ0488,1004,1010,01,2023-05-31,147.8
719095,1050,EUR,01,ZZ0497,1004,1010,01,2023-06-30,173.0
719095,1050,EUR,01,ZZ0502,1004,1010,01,2023-06-30,142.39999999999998
719095,1050,EUR,01,ZZ0550,1004,1010,01,2023-02-28,406.19999999999993
719095,1050,EUR,01,ZZ0550,1004,1010,01,2023-04-30,158.8
719095,1050,EUR,01,ZZ0550,1004,1010,01,2023-05-31,284.0
719095,1050,EUR,01,ZZ0550,1004,1010,01,2023-08-31,-22.65
719095,1050,EUR,01,ZZ0550,1004,1010,01,2023-09-30,324.45
719095,1050,EUR,01,ZZ0550,1004,1010,01,2023-10-31,284.0
719095,1050,EUR,01,ZZ0550,1004,1010,01,2023-11-30,125.19999999999999
719095,1050,EUR,01,ZZ0551,1004,1010,01,2023-01-31,2280.2000000000003
719095,1050,EUR,01,ZZ0551,1004,1010,01,2023-02-28,2259.2999999999997
719095,1050,EUR,01,ZZ0551,1004,1010,01,2023-06-30,156.39999999999998
719095,1050,EUR,01,ZZ0551,1004,1010,01,2023-08-31,-40.22
719095,1050,EUR,01,ZZ0551,1004,1010,01,2023-11-30,-45.620000000000005
719095,1050,EUR,01,ZZ0709,1004,1010,01,2023-05-31,166.39999999999998
719095,1050,EUR,01,ZZ0709,1004,1010,01,2023-11-30,-6.3
719095,1050,EUR,01,ZZ0728,1004,1010,01,2023-02-28,907.2
719095,1050,EUR,01,ZZ0728,1004,1010,01,2023-05-31,-6.47
719095,1050,EUR,01,ZZ0728,1004,1010,01,2023-06-30,-29.1
719095,1050,EUR,01,ZZ0728,1004,1010,01,2023-08-31,457.2
719095,1050,EUR,01,ZZ0728,1004,1010,01,2023-09-30,304.79999999999995
719095,1050,EUR,01,ZZ0728,1004,1010,01,2023-10-31,457.2
719095,1050,EUR,01,ZZ0735,1004,1010,01,2023-09-30,142.6
719095,1050,EUR,01,ZZ0752,1004,1010,01,2023-01-31,156.0
719095,1050,EUR,01,ZZ0814,1004,1010,01,2023-03-31,516.3
719095,1050,EUR,01,ZZ0814,1004,1010,01,2023-06-30,344.2
719095,1050,EUR,01,ZZ0825,1004,1010,01,2023-02-28,132.6
719095,1050,EUR,01,ZZ0825,1004,1010,01,2023-03-31,156.0
719095,1050,EUR,01,ZZ0825,1004,1010,01,2023-05-31,312.0
719095,1050,EUR,01,ZZ0825,1004,1010,01,2023-06-30,467.99999999999994
719095,1050,EUR,01,ZZ0825,1004,1010,01,2023-08-31,444.59999999999997
719095,1050,EUR,01,ZZ0825,1004,1010,01,2023-09-30,452.4
719095,1050,EUR,01,ZZ0825,1004,1010,01,2023-11-30,-17.9
719095,1050,EUR,01,ZZ0839,1004,1010,01,2023-02-28,285.0
719095,1050,EUR,01,ZZ0839,1004,1010,01,2023-05-31,336.2
