PRDID;LOCID;KEYFIGUREDATE;ZDIVISIONID;ZGROUPKEYID;ZSALESOFFICEID;ZVKORGID;ZVTWEGID;ZACTUALPROMOTIONQTY;ZACTUALSALES;ZADJUSTEDSALESQTY;ZADJUSTEDSALESQTYINCLPRED;ZSTATISTICALEXPOSTFORECASTQTY;ZSTATISTICALFORECASTQTY;ZOUTLIERCORRECTIONTHRESHHOLD;ZOUTLIERCORRECTIONMARKER;ZACTUALSSALESADJ;ZDISAGGFACTOR;ZGROWTHFACTOR;ZSALESFORECAST;ZNEWPRODUCTFORECAST
898589;1050;2023-11-21;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-22;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-23;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-24;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-25;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-28;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-29;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-30;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-12-01;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-12-04;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-11;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-12;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-13;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-16;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-19;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-20;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-24;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-25;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-27;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-30;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-31;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-03;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-06;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-07;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-08;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-09;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-13;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-15;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-17;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-23;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-24;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-09;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-13;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-14;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-15;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-16;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-17;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-21;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-22;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-28;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-29;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-31;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-03;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-04;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-05;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-06;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-11;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-13;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-17;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-18;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-20;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-21;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-03;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-04;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-05;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-09;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-11;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-12;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-16;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-17;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-22;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-24;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-25;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-30;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-01;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-06;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-07;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-09;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-12;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-13;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-16;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-21;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-27;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-30;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
