PRDID,LOCID,ZDIVISIONID,ZGROUPKEYID,ZSALESOFFICEID,ZVKORGID,ZVTWEGID,KEYFIGUREDATE,ZACTUALSALES
719095,1050,01,ZZ0550,1004,1010,01,2023-05-31,8.0
719095,1050,01,ZZ0550,1004,1010,01,2023-08-31,0.0
719095,1050,01,ZZ0550,1004,1010,01,2023-09-30,8.0
719095,1050,01,ZZ0550,1004,1010,01,2023-10-31,8.0
719095,1050,01,ZZ0550,1004,1010,01,2023-11-30,4.0
719095,1050,01,ZZ0551,1004,1010,01,2023-01-31,72.0
719095,1050,01,ZZ0551,1004,1010,01,2023-02-28,68.0
719095,1050,01,ZZ0551,1004,1010,01,2023-06-30,4.0
719095,1050,01,ZZ0551,1004,1010,01,2023-08-31,0.0
719095,1050,01,ZZ0551,1004,1010,01,2023-11-30,0.0
719095,1050,01,ZZ0709,1004,1010,01,2023-05-31,4.0
719095,1050,01,ZZ0709,1004,1010,01,2023-11-30,0.0
719095,1050,01,ZZ0728,1004,1010,01,2023-02-28,28.0
719095,1050,01,ZZ0728,1004,1010,01,2023-05-31,0.0
719095,1050,01,ZZ0728,1004,1010,01,2023-06-30,0.0
719095,1050,01,ZZ0728,1004,1010,01,2023-08-31,12.0
719095,1050,01,ZZ0728,1004,1010,01,2023-09-30,8.0
719095,1050,01,ZZ0728,1004,1010,01,2023-10-31,12.0
719095,1050,01,ZZ0735,1004,1010,01,2023-09-30,4.0
719095,1050,01,ZZ0752,1004,1010,01,2023-01-31,4.0
719095,1050,01,ZZ0814,1004,1010,01,2023-03-31,12.0
719095,1050,01,ZZ0814,1004,1010,01,2023-06-30,8.0
719095,1050,01,ZZ0825,1004,1010,01,2023-02-28,4.0
719095,1050,01,ZZ0825,1004,1010,01,2023-03-31,4.0
719095,1050,01,ZZ0825,1004,1010,01,2023-05-31,8.0
719095,1050,01,ZZ0825,1004,1010,01,2023-06-30,12.0
719095,1050,01,ZZ0825,1004,1010,01,2023-08-31,12.0
719095,1050,01,ZZ0825,1004,1010,01,2023-09-30,12.0
719095,1050,01,ZZ0825,1004,1010,01,2023-11-30,0.0
719095,1050,01,ZZ0839,1004,1010,01,2023-02-28,8.0
719095,1050,01,ZZ0839,1004,1010,01,2023-05-31,8.0
719095,1050,01,ZZ0839,1004,1010,01,2023-08-31,0.0
719095,1050,01,ZZ0839,1004,1010,01,2023-09-30,16.0
719095,1050,01,ZZ0841,1004,1010,01,2023-03-31,36.0
719095,1050,01,ZZ0841,1004,1010,01,2023-05-31,28.0
719095,1050,01,ZZ0841,1004,1010,01,2023-06-30,32.0
719095,1050,01,ZZ0841,1004,1010,01,2023-07-31,36.0
719095,1050,01,ZZ0841,1004,1010,01,2023-08-31,36.0
719095,1050,01,ZZ0841,1004,1010,01,2023-09-30,36.0
719095,1050,01,ZZ0841,1004,1010,01,2023-10-31,36.0
719095,1050,01,ZZ0841,1004,1010,01,2023-11-30,4.0
719095,1050,01,ZZ0845,1004,1010,01,2023-02-28,4.0
719095,1050,01,ZZ0845,1004,1010,01,2023-05-31,16.0
719095,1050,01,ZZ0845,1004,1010,01,2023-08-31,4.0
719095,1050,01,ZZ0845,1004,1010,01,2023-09-30,28.0
719095,1050,01,ZZ0845,1004,1010,01,2023-10-31,4.0
719095,1050,01,ZZ0861,1004,1010,01,2023-02-28,40.0
719095,1050,01,ZZ0861,1004,1010,01,2023-06-30,8.0
719095,1050,01,ZZ0861,1004,1010,01,2023-07-31,0.0
719095,1050,01,ZZ0861,1004,1010,01,2023-10-31,4.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-01-31,1.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-02-28,3.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-03-31,2.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-04-30,5.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-05-31,5.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-06-30,3.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-07-31,7.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-08-31,3.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-09-30,2.0
719095,2071,01,99999999_Dummy,9002,1000,01,2023-10-31,1.0
719095,2071,01,ZZ0573,9002,1000,01,2023-05-31,1.0
719095,2071,01,ZZ0573,9002,1000,01,2023-07-31,1.0
719095,2071,01,ZZ0573,9002,1000,01,2023-10-31,1.0
719095,99999999_Dummy,01,99999999_Dummy,4000,1000,01,2021-03-31,9.352
719095,99999999_Dummy,01,99999999_Dummy,4000,1000,01,2021-06-30,7.014
719095,99999999_Dummy,01,99999999_Dummy,4000,1000,01,2021-08-31,2.338
719095,99999999_Dummy,01,99999999_Dummy,4000,1000,01,2021-09-30,14.028
719095,99999999_Dummy,01,99999999_Dummy,4000,1000,01,2021-10-31,4.676
719095,99999999_Dummy,01,99999999_Dummy,4000,1000,01,2021-11-30,4.676
719095,99999999_Dummy,01,99999999_Dummy,4000,1000,01,2021-12-31,4.676
719095,99999999_Dummy,01,99999999_Dummy,9002,1000,01,2021-03-31,4.676
719095,99999999_Dummy,01,99999999_Dummy,9002,1000,01,2022-06-30,11.69
719095,99999999_Dummy,01,ZZ0044,1004,1010,01,2021-05-31,18.704
719095,99999999_Dummy,01,ZZ0044,1004,1010,01,2021-12-31,0.0
