,ticker,model,BIAS_abs,BIAS_rel,MAPE,MAE_abs,MAE_rel,RMSE_abs,RMSE_rel,MSE
0,Mexico // Beer // Ale  // Ciudad Nezahualcoyotl // Fancy Beer Ale 1 pint,simple_ex_smoothing,104844.86686171869,0.03044543882510404,0.17655213894637753,581465.1793464157,0.16884911084934776,664913.2766045326,0.19308123604718105,442109665404.97565
0,Mexico // Beer // Ale  // Ciudad Nezahualcoyotl // Fancy Beer Ale 1 pint,moving_average,47467.27485380115,0.01361482481781217,0.1807971216803742,604903.2631578947,0.17350168057853368,664222.0653583824,0.1905158256468895,441190952108.9552
0,Mexico // Beer // Ale  // Ciudad Nezahualcoyotl // Fancy Beer Ale 330 ml,simple_ex_smoothing,43033.22721232512,0.029550745607865313,0.17431739376471705,242435.0636260884,0.16647919191125188,280322.192471686,0.1924961322816457,78580531592.13298
0,Mexico // Beer // Ale  // Ciudad Nezahualcoyotl // Fancy Beer Ale 330 ml,moving_average,17476.122807017546,0.011862908681806278,0.1798263022107252,253242.90643274854,0.17190297335977583,280291.4929971217,0.1902637342635756,78563321046.55554
0,Mexico // Beer // Ale  // Ciudad Nezahualcoyotl // Fancy Beer Ale 500 ml,simple_ex_smoothing,53011.887075951345,0.029308009833224586,0.17666545427537386,302560.2768192814,0.16727266387363401,355671.1888497047,0.1966354203778315,126501994577.7623
0,Mexico // Beer // Ale  // Ciudad Nezahualcoyotl // Fancy Beer Ale 500 ml,moving_average,21891.216374268988,0.011957829771120638,0.18174731200616903,315423.97660818713,0.1722967857758699,357012.85190897447,0.19501423932969444,127458176428.17932
0,Mexico // Beer // Ale  // Ecatepec // Fancy Beer Ale 1 pint,simple_ex_smoothing,91951.63542792611,0.02848708868595507,0.17531477719550026,544637.3979395234,0.1687314617579819,629147.5585363216,0.19491314334071255,395826650412.2143
0,Mexico // Beer // Ale  // Ecatepec // Fancy Beer Ale 1 pint,moving_average,41230.5964912281,0.012625253102011907,0.18263567562100047,578336.9941520467,0.17709302194984766,632498.9916581134,0.1936780094401478,400054974448.5303
0,Mexico // Beer // Ale  // Ecatepec // Fancy Beer Ale 330 ml,simple_ex_smoothing,41739.30905867892,0.030848886999891956,0.17174129058870996,223589.95471449074,0.16525192684913592,254387.640725665,0.18801402706217998,64713071753.97001
0,Mexico // Beer // Ale  // Ecatepec // Fancy Beer Ale 330 ml,moving_average,15822.397660818717,0.011562121584932722,0.17074792980815956,226424.59649122806,0.1654584071625113,251237.43970213868,0.183590242565868,63120251108.08577
0,Mexico // Beer // Ale  // Ecatepec // Fancy Beer Ale 500 ml,simple_ex_smoothing,46813.91786342657,0.027611645302583004,0.17270134338573975,281189.1186488692,0.165850126659538,321659.57247124845,0.18972028893559723,103464880562.38635
0,Mexico // Beer // Ale  // Ecatepec // Fancy Beer Ale 500 ml,moving_average,18567.198830409365,0.010825927303995557,0.1733928190910792,286465.4678362573,0.1670286594239064,318999.62191666104,0.18599826222659668,101760758782.97269
0,Mexico // Beer // Ale  // Guadalajara // Fancy Beer Ale 1 pint,simple_ex_smoothing,113781.09992912706,0.028964923756178592,0.17536738650689923,658910.0993354758,0.16773682800848402,760847.7290908537,0.19368679400098396,578889266862.7091
0,Mexico // Beer // Ale  // Guadalajara // Fancy Beer Ale 1 pint,moving_average,46099.13450292398,0.011607079345538144,0.18150093989680371,692308.6900584796,0.17431307515338837,763530.7472974742,0.19224573437658996,582979202068.6394
0,Mexico // Beer // Ale  // Guadalajara // Fancy Beer Ale 330 ml,simple_ex_smoothing,50844.055565715695,0.03075161807519844,0.17085089629057082,271399.1006614567,0.1641482253260922,316523.7205510114,0.1914406012231831,100187265671.45474
0,Mexico // Beer // Ale  // Guadalajara // Fancy Beer Ale 330 ml,moving_average,19700.43859649123,0.011788009674413793,0.1750758453870745,282646.3216374269,0.1691250454948187,315170.0814547365,0.18858605360877204,99332180244.18521
0,Mexico // Beer // Ale  // Guadalajara // Fancy Beer Ale 500 ml,simple_ex_smoothing,64296.14309960517,0.03109391255110824,0.1711326551700905,339993.36796049244,0.16442236721638187,389300.61458279047,0.18826758001918648,151554968514.53836
0,Mexico // Beer // Ale  // Guadalajara // Fancy Beer Ale 500 ml,moving_average,27447.929824561405,0.013124623345904501,0.17606462125434313,354019.3450292397,0.1692794535096355,388269.66929783113,0.18565673982498104,150753336096.64716
0,Mexico // Beer // Ale  // Juarez // Fancy Beer Ale 1 pint,simple_ex_smoothing,109276.7157264786,0.02905592782484358,0.17265607755504012,623779.9389657173,0.16585879951351346,717410.5609639136,0.1907545385269765,514677912982.5571
0,Mexico // Beer // Ale  // Juarez // Fancy Beer Ale 1 pint,moving_average,46560.73684210525,0.01223887051666495,0.17700287479359822,648199.2163742691,0.17038446588831227,718857.4555308042,0.18895756199082828,516756041372.2222
