PRDID;LOCID;KEYFIGUREDATE;CURRID;ZDIVISIONID;ZGROUPKEYID;ZSALESOFFICEID;ZVKORGID;ZVTWEGID;ZNETTO2REVENUE
898589;1050;2023-06-12;EUR;01;ZZ0061;2002;1070;01;-96,2
898589;1050;2023-06-14;EUR;01;ZZ0061;2002;1070;01;-173,16
898589;1050;2023-06-15;EUR;01;ZZ0061;2002;1070;01;-240,5
898589;1050;2023-06-16;EUR;01;ZZ0061;2002;1070;01;-173,16
898589;1050;2023-06-19;EUR;01;ZZ0061;2002;1070;01;-115,44
898589;1050;2023-06-20;EUR;01;ZZ0061;2002;1070;01;-48,1
898589;1050;2023-06-21;EUR;01;ZZ0061;2002;1070;01;-38,48
898589;1050;2023-06-22;EUR;01;ZZ0061;2002;1070;01;-134,68
898589;1050;2023-06-23;EUR;01;ZZ0061;2002;1070;01;-48,1
898589;1050;2023-06-26;EUR;01;ZZ0061;2002;1070;01;-48,1
898589;1050;2023-06-27;EUR;01;ZZ0061;2002;1070;01;-86,58
898589;1050;2023-06-28;EUR;01;ZZ0061;2002;1070;01;-105,82
898589;1050;2023-06-29;EUR;01;ZZ0061;2002;1070;01;-134,68
898589;1050;2023-06-30;EUR;01;ZZ0061;2002;1070;01;-96,2
898589;1050;2023-10-31;EUR;01;ZZ0061;2002;1070;01;-9,62
898589;1050;2023-11-01;EUR;01;ZZ0061;2002;1070;01;-173,16
898589;1050;2023-11-02;EUR;01;ZZ0061;2002;1070;01;-278,98
898589;1050;2023-11-03;EUR;01;ZZ0061;2002;1070;01;-413,66
898589;1050;2023-11-07;EUR;01;ZZ0061;2002;1070;01;-28,86
898589;1050;2023-11-08;EUR;01;ZZ0061;2002;1070;01;-500,24
898589;1050;2023-11-09;EUR;01;ZZ0061;2002;1070;01;-96,2
898589;1050;2023-11-10;EUR;01;ZZ0061;2002;1070;01;-307,84
898589;1050;2023-11-11;EUR;01;ZZ0061;2002;1070;01;-96,2
898589;1050;2023-11-14;EUR;01;ZZ0061;2002;1070;01;-67,34
898589;1050;2023-11-15;EUR;01;ZZ0061;2002;1070;01;-269,36
898589;1050;2023-11-16;EUR;01;ZZ0061;2002;1070;01;-115,44
898589;1050;2023-11-17;EUR;01;ZZ0061;2002;1070;01;-250,12
898589;1050;2023-11-18;EUR;01;ZZ0061;2002;1070;01;-67,34
898589;1050;2023-11-21;EUR;01;ZZ0061;2002;1070;01;-67,34
898589;1050;2023-11-22;EUR;01;ZZ0061;2002;1070;01;-134,68
898589;1050;2023-11-23;EUR;01;ZZ0061;2002;1070;01;-182,78
898589;1050;2023-11-24;EUR;01;ZZ0061;2002;1070;01;-202,02
898589;1050;2023-11-25;EUR;01;ZZ0061;2002;1070;01;-48,1
898589;1050;2023-11-28;EUR;01;ZZ0061;2002;1070;01;-38,48
898589;1050;2023-11-29;EUR;01;ZZ0061;2002;1070;01;-327,08
898589;1050;2023-11-30;EUR;01;ZZ0061;2002;1070;01;-278,98
898589;1050;2023-12-01;EUR;01;ZZ0061;2002;1070;01;-413,66
898589;1050;2023-12-04;EUR;01;ZZ0061;2002;1070;01;-9,62
898589;1050;2023-01-11;EUR;01;ZZ0072;2002;1070;01;-64,8
898589;1050;2023-01-12;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-01-13;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-01-16;EUR;01;ZZ0072;2002;1070;01;-48,4
898589;1050;2023-01-19;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-01-20;EUR;01;ZZ0072;2002;1070;01;-7,46
898589;1050;2023-01-24;EUR;01;ZZ0072;2002;1070;01;-9,68
898589;1050;2023-01-25;EUR;01;ZZ0072;2002;1070;01;-66,24
898589;1050;2023-01-27;EUR;01;ZZ0072;2002;1070;01;-4,84
898589;1050;2023-01-30;EUR;01;ZZ0072;2002;1070;01;-1,7
898589;1050;2023-01-31;EUR;01;ZZ0072;2002;1070;01;-92,58
898589;1050;2023-02-03;EUR;01;ZZ0072;2002;1070;01;-11,12
898589;1050;2023-02-06;EUR;01;ZZ0072;2002;1070;01;-6,28
898589;1050;2023-02-07;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-02-08;EUR;01;ZZ0072;2002;1070;01;-113,4
898589;1050;2023-02-09;EUR;01;ZZ0072;2002;1070;01;-4,32
898589;1050;2023-02-13;EUR;01;ZZ0072;2002;1070;01;-6,8
898589;1050;2023-02-15;EUR;01;ZZ0072;2002;1070;01;-6,8
898589;1050;2023-02-17;EUR;01;ZZ0072;2002;1070;01;-7,98
898589;1050;2023-02-23;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-02-24;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-03-09;EUR;01;ZZ0072;2002;1070;01;-8,5
898589;1050;2023-03-13;EUR;01;ZZ0072;2002;1070;01;-48,6
898589;1050;2023-03-14;EUR;01;ZZ0072;2002;1070;01;-70,56
898589;1050;2023-03-15;EUR;01;ZZ0072;2002;1070;01;-5,1
898589;1050;2023-03-16;EUR;01;ZZ0072;2002;1070;01;-8,5
898589;1050;2023-03-17;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-03-21;EUR;01;ZZ0072;2002;1070;01;-5,76
898589;1050;2023-03-22;EUR;01;ZZ0072;2002;1070;01;-4,58
898589;1050;2023-03-28;EUR;01;ZZ0072;2002;1070;01;-23,8
898589;1050;2023-03-29;EUR;01;ZZ0072;2002;1070;01;-9,42
898589;1050;2023-03-31;EUR;01;ZZ0072;2002;1070;01;-3,4
